iter	MAPE	Poisson
0	0.8991299547	1.382484548e+103
1	1.34553053e+99	1.644405114e+105
2	1.34553053e+99	1.644405114e+105
3	1.34553053e+99	1.644405114e+105
4	1.34553053e+99	1.644405114e+105
5	1.34553053e+99	1.644405114e+105
6	1.34553053e+99	1.644405114e+105
7	1.34553053e+99	1.644405114e+105
8	1.34553053e+99	1.644405114e+105
9	1.34553053e+99	1.644405114e+105
10	1.34553053e+99	1.644405114e+105
11	1.34553053e+99	1.644405114e+105
12	1.34553053e+99	1.644405114e+105
13	1.34553053e+99	1.644405114e+105
14	1.34553053e+99	1.644405114e+105
15	1.34553053e+99	1.644405114e+105
16	1.34553053e+99	1.644405114e+105
17	1.34553053e+99	1.644405114e+105
18	1.34553053e+99	1.644405114e+105
19	1.34553053e+99	1.644405114e+105
20	1.34553053e+99	1.644405114e+105
21	1.34553053e+99	1.644405114e+105
22	1.34553053e+99	1.644405114e+105
23	1.34553053e+99	1.644405114e+105
24	1.34553053e+99	1.644405114e+105
25	1.34553053e+99	1.644405114e+105
26	1.34553053e+99	1.644405114e+105
27	1.34553053e+99	1.644405114e+105
28	1.34553053e+99	1.644405114e+105
29	1.34553053e+99	1.644405114e+105
30	1.34553053e+99	1.644405114e+105
31	1.34553053e+99	1.644405114e+105
32	1.34553053e+99	1.644405114e+105
33	1.34553053e+99	1.644405114e+105
34	1.34553053e+99	1.644405114e+105
35	1.34553053e+99	1.644405114e+105
36	1.34553053e+99	1.644405114e+105
37	1.34553053e+99	1.644405114e+105
38	1.34553053e+99	1.644405114e+105
39	1.34553053e+99	1.644405114e+105
40	1.34553053e+99	1.644405114e+105
41	1.34553053e+99	1.644405114e+105
42	1.34553053e+99	1.644405114e+105
43	1.34553053e+99	1.644405114e+105
44	1.34553053e+99	1.644405114e+105
45	1.34553053e+99	1.644405114e+105
46	1.34553053e+99	1.644405114e+105
47	1.34553053e+99	1.644405114e+105
48	1.34553053e+99	1.644405114e+105
49	1.34553053e+99	1.644405114e+105
