iter	Passed	Remaining
0	13	13950
1	27	13806
2	39	13209
3	48	12078
4	54	10906
5	60	9955
6	66	9387
7	71	8921
8	77	8503
9	82	8178
10	88	7944
11	93	7709
12	99	7534
13	104	7361
14	110	7225
15	114	7071
16	120	6949
17	125	6841
18	131	6793
19	137	6725
20	142	6645
21	148	6615
22	154	6544
23	160	6506
24	165	6445
25	171	6424
26	176	6370
27	182	6322
28	187	6288
29	193	6257
30	198	6203
31	203	6170
32	216	6340
33	230	6557
34	245	6760
35	257	6898
36	263	6870
37	270	6847
38	277	6828
39	282	6786
40	288	6752
41	294	6707
42	299	6670
43	305	6628
44	310	6586
45	315	6547
46	324	6573
47	329	6533
48	334	6491
49	340	6469
50	345	6436
51	351	6414
52	357	6382
53	363	6360
54	368	6323
55	373	6292
56	378	6263
57	384	6248
58	390	6221
59	395	6196
60	400	6169
61	406	6143
62	419	6240
63	431	6313
64	444	6398
65	459	6504
66	466	6496
67	472	6479
68	478	6455
69	484	6431
70	489	6408
71	496	6404
72	501	6372
73	507	6344
74	513	6328
75	520	6330
76	526	6306
77	532	6288
78	537	6260
79	542	6241
80	547	6217
81	553	6199
82	558	6172
83	564	6154
84	570	6139
85	576	6124
86	581	6098
87	586	6077
88	591	6058
89	597	6039
90	602	6017
91	608	6006
92	618	6030
93	631	6087
94	646	6159
95	659	6209
96	673	6271
97	681	6271
98	686	6251
99	692	6229
100	697	6208
101	703	6195
102	709	6174
103	714	6152
104	719	6131
105	724	6113
106	730	6095
107	736	6079
108	742	6069
109	747	6048
110	752	6027
111	758	6012
112	765	6007
113	770	5987
114	775	5970
115	781	5953
116	786	5937
117	792	5921
118	798	5914
119	806	5913
120	814	5916
121	828	5960
122	840	5995
123	853	6026
124	864	6052
125	881	6116
126	896	6162
127	909	6196
128	922	6230
129	935	6263
130	948	6292
131	957	6297
132	964	6284
133	970	6272
134	975	6251
135	981	6238
136	986	6216
137	993	6205
138	998	6187
139	1005	6176
140	1017	6201
141	1031	6234
142	1045	6267
143	1058	6290
144	1071	6317
145	1083	6336
146	1089	6324
147	1096	6315
148	1102	6295
149	1107	6277
150	1113	6259
151	1119	6244
152	1124	6224
153	1130	6210
154	1135	6190
155	1140	6172
156	1146	6155
157	1155	6155
158	1160	6139
159	1165	6121
160	1171	6104
161	1176	6086
162	1183	6077
163	1189	6063
164	1194	6045
165	1199	6028
166	1205	6011
167	1211	6000
168	1224	6020
169	1238	6044
170	1249	6059
171	1256	6049
172	1261	6031
173	1267	6017
174	1272	6001
175	1281	5998
176	1286	5983
177	1292	5968
178	1297	5952
179	1303	5937
180	1309	5925
181	1315	5911
182	1320	5894
